id,backbone,method,bleu_4_mean,bleu_4_std,meteor_mean,meteor_std,rouge_l_mean,rouge_l_std,cider_mean,cider_std,spice_mean,spice_std
internvl3-2b-native,InternVL3-2B,Native,0.04371996233959185,0.0011479601437589379,0.1114413746935713,0.0013671200531291158,0.2461601668359801,0.0016735499902128228,0.3443662475334834,0.009562636102747919,0.16704462996379346,0.001687650442890616
internvl3-2b-densecl,InternVL3-2B,CORA DenseCL 50%,0.04454898172558679,0.0007237768873531084,0.11345889205416854,0.0005620577502656501,0.2490199799021683,0.0009082555973759571,0.36016072258108434,0.0016272375761573394,0.1715720475478999,0.0010757344983332955
internvl3-2b-vicreg,InternVL3-2B,CORA VICReg 50%,0.04501309366039467,0.0007680943583670794,0.11371791283910533,0.0005579153034382276,0.24910638541240027,0.00030740196182327457,0.36097440689947535,0.0047449069144398425,0.17220472525352024,0.0010828712628241266
qwen2.5-vl-3b-native,Qwen2.5-VL-3B,Native,0.042181644634607586,0.0004357805128336904,0.11219329910138008,0.0010101948030210293,0.2409247954964353,0.0008304895258673946,0.325656146092971,0.0028275819902237598,0.15471046105625877,0.0012013253514798672
qwen2.5-vl-3b-densecl,Qwen2.5-VL-3B,CORA DenseCL 50%,0.04393456888436654,0.00017370675664203495,0.11389467082711437,0.0002002525339385592,0.24374861631236225,0.0008482047963349871,0.3389200254401692,0.001005114908233289,0.16005575069161557,0.00046778655026233747
qwen2.5-vl-3b-vicreg,Qwen2.5-VL-3B,CORA VICReg 50%,0.04268624323689716,0.0002115220516872583,0.11417718233949158,0.000775847272098054,0.24385629366743797,0.001044761442494767,0.34101707196536407,0.001554546462902004,0.16115693601819106,0.0010009039374517638
gemma3-4b-native,Gemma3-4B,Native,0.042231349301245114,7.422343030954049e-05,0.10882341893222312,0.00022964264655904058,0.24411411670376312,0.001138747937632611,0.3369402117478065,0.004837080658005856,0.1646897551141198,0.001369646239185047
gemma3-4b-densecl,Gemma3-4B,CORA DenseCL 50%,0.04436767129761222,0.00016408227918453808,0.1153593873027315,0.0007305464336489656,0.24408358540106154,0.0012917556119753284,0.3416989135244219,0.001125033849793231,0.16618028605120205,0.0006584818216411099
gemma3-4b-vicreg,Gemma3-4B,CORA VICReg 50%,0.044086496782807905,0.0006292949045999704,0.11395357596888923,0.001406397854056512,0.24545137406815676,0.0013643109140274515,0.34835907295676044,0.003111631843077363,0.16691410536853002,0.0018567586969502011
